,start,end,length,delta_x,delta_y,angle,interval
0,232,500,268,-5.534441300295228,-1.130698410177402,11.546751181507561,232
1,616,752,136,-1.1089631966128621,-2.788032028282032,68.30939450604127,116
2,773,860,87,-2.828442206775648,-2.18394016831445,37.67299875260115,21
3,892,1045,153,-2.9254410088335305,-2.598050574323736,41.60791204312972,32
4,1146,1263,117,-9.157048072699524,-5.168536883058067,29.44180135982983,101
5,1297,1412,115,-7.06915273445054,-4.272229491191609,31.14659015556016,34
6,1441,1526,85,-7.205727579273571,-3.2552452498111677,24.311455120174376,29
7,1571,1631,60,-4.632800588298835,0.5704199448056642,-7.019292862638754,45
8,1813,1956,143,-7.888961978883486,-2.620374618721044,18.374272802998547,182
9,1999,2105,106,-7.886836663631186,-1.885446350179464,13.444929449637108,43
10,2157,2735,578,-12.63202188310973,-1.082164452603763,4.896479629725338,52
11,8831,10241,1410,-3.3792157684404316,1.5676379542303494,-24.88686108541125,6096
12,10591,14574,3983,-6.5783415511882595,7.497992805714659,-48.73800130530705,350
13,14653,14787,134,-1.276730588188144,-3.5400402447017,70.16794516592259,79
14,14838,15449,611,-4.4945880571713275,-2.4927213690841654,29.012972994932106,51
15,17629,17869,240,-0.4717973068509309,-4.520649227515307,84.04189862469666,2180
16,17908,19796,1888,-4.216776101014318,1.3676086555848883,-17.969208536974893,39
17,19921,21935,2014,-4.977517749653856,1.7167396346405042,-19.029249881665418,125
18,22110,22210,100,-2.5309575139506393,-4.507241324442603,60.68442179495216,175
19,22242,22555,313,-4.970260584736991,-3.3461025909557804,33.94941691217823,32
20,22588,23305,717,0.8467766884983376,2.8769724943938115,73.59931021104408,33
21,23340,23639,299,-3.192802091329753,-6.150851574975391,62.56694404085802,35
22,23681,26606,2925,-3.2111376739937754,2.262618371304427,-35.169129798068596,42
23,26682,28533,1851,-4.745676472222385,-0.7784479276914738,9.315444593337979,76
24,28688,30350,1662,-2.5553861700313263,-1.5947821303018657,31.96773214651515,155
25,30410,32276,1866,-4.319113974465267,-1.263770921273462,16.309453539748088,60
26,36880,37248,368,0.44028096755066315,-2.1427395450927946,-78.38871831492143,4604
27,37266,38073,807,1.3855941548073787,-2.9168360324248965,-64.59072665780066,18
28,38293,39914,1621,0.8485012917399501,-2.034290977108739,-67.35901832484475,220
29,40004,40267,263,-0.40403029414122216,-4.45640210927418,84.81956205149723,90
30,42318,45785,3467,-5.067826453299432,-4.975948992567879,44.47588992491585,2051
31,45870,49221,3351,-4.3177839029802385,3.5963655219131,-39.79156796951468,85
32,49298,51856,2558,-3.4938403895136645,-0.5122859608359676,8.341580425103835,77
33,52084,52989,905,5.8032520618614,-1.086288821694808,-10.602286645766062,228
34,59255,61501,2246,0.47355643220950583,-2.464166763115628,-79.12168844238947,6266
35,61566,64426,2860,-2.0007652022883775,-0.8032834894787015,21.874875066379012,65
36,90033,90815,782,-0.28636418598891566,-3.0498002995351072,84.6358802149906,25607
37,95366,97645,2279,0.7123870524919909,-1.3282300754064096,-61.79342235014704,4551
38,111183,111947,764,-3.48805426394982,-4.421206372485898,51.728777087674295,13538
39,114377,114562,185,0.020320737359895702,-3.0686293726375595,-89.62058778447843,2430
40,114604,115464,860,-2.098964049840731,-1.3857562238177934,33.4331758093193,42
41,152938,153106,168,-2.402682533884672,-6.3433958805167805,69.25485920574863,37474
42,153172,153411,239,-3.046543055953663,-1.6825336193944338,28.910831169472534,66
43,153650,153938,288,-3.5724847925468737,-1.3857373054673445,21.200861192889462,239
44,153972,156325,2353,10.832517997085759,-2.702598520105397,-14.00870635266565,34
45,156481,157851,1370,2.8584668675911615,-3.996933536001663,-54.42897776605132,156
46,157916,159052,1136,2.186509110925627,-5.5196414756698005,-68.38987437943227,65
47,159171,163484,4313,-0.5254933451005996,-4.689724280883382,83.60655788865328,119
48,163518,164027,509,-4.588079595251344,-7.0318772580621385,56.876810968458244,34
49,164051,164754,703,0.07585432138925796,-2.645436424200099,-88.35757082561045,24
50,164932,166061,1129,1.6866583258403551,-2.917889766736465,-59.97035035095416,178
51,166124,168140,2016,2.4925532265219488,1.200743873685738,25.721627806752778,63
52,168184,172085,3901,-1.0436107292705685,-1.3544994917152877,52.38657472068161,44
53,173761,174275,514,-1.3454187591820528,-2.7128886512676615,63.62153807110059,1676
54,174302,175058,756,1.3629503955906017,-3.422455282309187,-68.2856931936569,27
55,175133,175298,165,1.3894358759454235,-2.384690397034575,-59.77285492562708,75
56,176476,179215,2739,0.09156107724314211,3.1779414065664184,88.34968246392772,1178
57,209311,211368,2057,0.8085702884193751,-5.356795776236112,-81.41640632609221,30096
58,222170,224824,2654,5.35219582760746,-3.6176813431468844,-34.055731970540315,10802
59,231177,231813,636,3.969504878693357,-3.086513214696069,-37.86707331398343,6353
60,231873,232813,940,8.188326359355841,-3.132281202077806,-20.933356408583247,60
61,234101,235135,1034,2.132295003581987,-3.5337201782538727,-58.89264536621478,1288
62,235236,237158,1922,2.7207566154020384,-3.3475072897735743,-50.896791917325395,101
